		Estimate	Std. Error	t value	Pr(>|t|)
hs_dde_madj_Log2	Adiponectin	0.0055246409939664	0.0337144696385201	0.163865576211061	0.869866825116023
hs_dde_madj_Log2	CRP	0.0200126938360001	0.0329089325266423	0.608123457659963	0.543230112821451
hs_dde_madj_Log2	APO.A1	-0.000837013054021477	0.0328304318750064	-0.0254950363494514	0.979664694277432
hs_dde_madj_Log2	APO.B	0.0221098777059285	0.0335498105602726	0.659016469443482	0.510021999393411
hs_dde_madj_Log2	APO.E	0.0449985967610528	0.033358181042714	1.34895235155159	0.177627635388237
hs_dde_madj_Log2	IL1beta	0.0186589700678112	0.0311571903854188	0.598865617759405	0.549384804030039
hs_dde_madj_Log2	IL6	0.0416794079148823	0.0314723446764321	1.32431848797378	0.18567015172182
hs_dde_madj_Log2	MCP1	-0.0424532420089665	0.0310117053673251	-1.36894251722437	0.171294441036754
hs_dde_madj_Log2	Leptin	0.0264319764443868	0.0313784674628227	0.842360337569178	0.399767907855163
hs_dde_madj_Log2	HGF	0.0051517392583772	0.0326903592199648	0.157592005144774	0.874806991403172
hs_dde_madj_Log2	INSULIN	-0.0219992847974569	0.031356978393733	-0.701575404403559	0.483091190779565
hs_dde_madj_Log2	TNFalfa	-0.0171897714497631	0.0330662818265579	-0.519858009434758	0.603266291384675
hs_dde_madj_Log2	BAFF	0.0130584964053246	0.0326920566154866	0.399439428327023	0.68964635750892
hs_dde_madj_Log2	Cpeptide	0.0111055175338302	0.0335020032695985	0.331488163393141	0.74033840994316
hs_dde_madj_Log2	PAI1	0.0128463796461415	0.0233003177912844	0.551339246151689	0.581512201653134
hs_dde_madj_Log2	IL8	-0.00542159378265565	0.0330796385117051	-0.163895194342503	0.869843514016876
hs_dde_madj_Log2	FGFBasic	-0.0191128239663183	0.0301019092372617	-0.634937266459481	0.525600300320779
hs_dde_madj_Log2	GCSF	0.00290337919357909	0.0286802563917881	0.101232679161487	0.919384054540501
hs_dde_madj_Log2	IL10	-0.0520451749770068	0.0325052581858441	-1.60113095178159	0.10963271282458
hs_dde_madj_Log2	IL13	0.00882719202989894	0.0275328224943187	0.320606143148614	0.748569281946458
hs_dde_madj_Log2	IL12	-0.00579210862200464	0.0290995183655985	-0.199044827795228	0.842264164067241
hs_dde_madj_Log2	Eotaxin	-0.0162861462449215	0.0302308024184883	-0.538726892507537	0.590183432921671
hs_dde_madj_Log2	IL17	-0.0241039445170453	0.0287595220148678	-0.838120484220299	0.40214363561766
hs_dde_madj_Log2	MIP1alfa	-0.00860918352359335	0.0271801375370344	-0.316745399535336	0.751496410388292
hs_dde_madj_Log2	MIP1beta	-0.00298542844549103	0.0275775651723191	-0.108255693598637	0.913812449748034
hs_dde_madj_Log2	IL15	-0.00145624192809656	0.0288929480941866	-0.0504012925004893	0.9598116823647
hs_dde_madj_Log2	EGF	-0.0196949177534669	0.0248583614723021	-0.792285435844654	0.42836370354481
hs_dde_madj_Log2	IL5	-0.0264837489236292	0.0283194449366715	-0.935178955055534	0.349899664921068
hs_dde_madj_Log2	IFNgamma	-0.0282009571754088	0.027384715136095	-1.02980648274986	0.303325396234877
hs_dde_madj_Log2	IFNalfa	-0.0427278392649149	0.0275188472587108	-1.55267547594639	0.120785996792166
hs_dde_madj_Log2	IL1RA	-0.0223567752479621	0.0310547170318401	-0.719915600101585	0.471728654463621
hs_dde_madj_Log2	IL2	0.0144561196819525	0.0278345387829747	0.519359052243205	0.603614012831579
hs_dde_madj_Log2	IP10	-0.0330817443421815	0.0329380396635371	-1.00436287891181	0.315422824248711
hs_dde_madj_Log2	IL2R	-0.0120344027893861	0.0289040484454057	-0.416356996222064	0.677229355865523
hs_dde_madj_Log2	MIG	-0.0445301658589881	0.0291541584167909	-1.52740357730037	0.126945831667011
hs_dde_madj_Log2	IL4	0.0144719266859428	0.0261832669604696	0.552716615072973	0.580568858904385
hs_ddt_madj_Log2	Adiponectin	-0.0516890391138938	0.0323394346909268	-1.59832846825847	0.110254749503131
hs_ddt_madj_Log2	CRP	0.00626490045284565	0.0316074146352186	0.198209835418332	0.842917219452094
hs_ddt_madj_Log2	APO.A1	-0.0362710449874021	0.0315085109622624	-1.15115071705051	0.249918363205718
